ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
103914,0,1.80E-11,0,0
103915,1,2.55E-11,178,1104.33
103916,0,1.31E-09,0,0
103917,1,6.38E-10,47,109.67
103918,0,1.16E-10,0,0
103919,1,1.32E-10,142,357.153
103920,1,1.35E-10,355,782.678
103921,1,3.14E-11,148,314.733
103922,1,2.26E-09,1542,4021.23
103923,0,1.31E-11,0,0
103924,0,1.05E-10,0,0
103925,0,8.73E-10,0,0
103926,1,2.68E-11,105,356.023
103927,0,3.58E-10,0,0
103928,0,1.64E-10,0,0
103929,1,3.41E-11,236,776.426
103930,1,5.80E-11,462,11098.9
103931,0,1.17E-10,0,0
103932,0,2.88E-11,0,0
103933,1,3.54E-10,337,644.636
103934,1,7.49E-11,166,220.859
103935,0,6.85E-12,0,0
103936,0,1.85E-11,0,0
103937,1,1.49E-10,0,0
103938,0,1.82E-09,0,0
103939,0,2.16E-11,0,0
103940,0,5.51E-10,0,0
103941,1,7.99E-12,73,212.929
103942,0,3.66E-11,0,0
103943,1,4.74E-11,17,18.0581
103944,1,1.86E-09,46,95.6812
103945,1,1.31E-10,745,4061.66
103946,0,1.10E-11,0,0
103947,0,6.83E-11,0,0
103948,1,9.19E-11,169,246.667
103949,0,5.58E-11,0,0
103950,1,1.21E-09,670,1377.05
103951,1,9.97E-10,106,132.747
103952,0,1.53E-11,0,0
103953,0,2.33E-11,0,0
103954,0,2.02E-09,0,0
103955,1,1.49E-11,111,334.34
103956,0,1.46E-09,0,0
103957,1,2.42E-10,46,92.0213
103958,1,3.70E-10,20,29.8405
103959,0,1.66E-09,0,0
103960,0,8.30E-12,0,0
103961,0,8.14E-10,0,0
103962,1,1.61E-11,216,411.004
103963,0,1.11E-11,0,0
103964,1,2.22E-10,65,117.919
103965,0,6.72E-11,0,0
103966,0,6.24E-11,0,0
103967,0,2.69E-11,0,0
103968,1,7.31E-10,570,2683.13
103969,1,4.98E-10,1480,7952.37
103970,0,7.89E-12,0,0
103971,0,9.69E-11,0,0
103972,0,1.12E-09,0,0
103973,1,1.89E-10,307,754.865
103974,0,2.26E-09,0,0
103975,0,7.16E-12,0,0
103976,0,7.78E-12,0,0
103977,0,9.87E-10,0,0
103978,0,5.52E-10,0,0
103979,0,3.24E-10,0,0
103980,1,1.96E-10,443,1480.63
103981,0,3.81E-11,0,0
103982,0,2.48E-11,0,0
103983,0,2.09E-09,0,0
103984,0,1.59E-10,0,0
103985,1,9.13E-12,452,1468.72
103986,1,2.51E-10,537,1839.49
103987,0,1.47E-11,0,0
103988,0,9.27E-11,0,0
103989,0,1.06E-10,0,0
103990,0,5.20E-11,0,0
103991,0,1.11E-10,0,0
103992,0,7.68E-12,0,0
103993,1,1.79E-10,330,1218.02
103994,0,2.11E-09,0,0
103995,1,2.24E-09,0,0
103996,0,4.64E-11,0,0
103997,0,1.91E-11,0,0
103998,1,8.07E-10,31,50.1024
103999,0,2.47E-11,0,0
104000,0,1.57E-10,0,0
104001,0,8.42E-10,0,0
104002,1,2.12E-09,16,20.4223
104003,0,6.14E-10,0,0
104004,0,1.44E-09,0,0
104005,1,2.72E-10,15,16.5933
104006,0,6.64E-11,0,0
104007,0,2.23E-10,0,0
104008,1,1.81E-09,962,2980.43
104009,1,8.82E-12,93,190.196
104010,0,1.59E-11,0,0
104011,0,1.63E-11,0,0
104012,0,8.29E-10,0,0
104013,1,6.34E-11,192,445.926
104014,1,2.26E-09,95,168.673
104015,1,3.02E-10,14,22.6001
104016,1,1.15E-10,93,113.699
104017,1,1.67E-09,26,31.4193
104018,1,1.81E-11,152,384.835
104019,0,5.54E-11,0,0
104020,1,1.33E-10,375,1632.81
104021,0,3.91E-11,0,0
104022,1,1.86E-09,146,331.843
104023,0,2.41E-11,0,0
104024,0,1.36E-11,0,0
104025,1,8.29E-10,6,6.80251
104026,0,1.19E-10,0,0
104027,0,3.19E-10,0,0
104028,1,6.62E-10,30,41.3178
104029,1,8.24E-10,340,899.322
104030,1,5.50E-11,266,1167.6
104031,0,1.84E-09,0,0
104032,0,9.41E-10,0,0
104033,1,2.77E-11,148,637.149
104034,0,4.17E-11,0,0
104035,0,9.67E-10,0,0
104036,1,2.37E-09,536,1190.34
104037,1,7.26E-12,0,0
104038,1,1.81E-10,406,1737.36
104039,0,1.30E-11,0,0
104040,0,3.26E-11,0,0
104041,1,7.80E-11,262,860.246
104042,0,7.16E-12,0,0
104043,0,1.20E-09,0,0
104044,0,2.19E-09,0,0
104045,0,7.06E-12,0,0
104046,1,5.14E-10,298,436.262
104047,1,2.11E-10,80,121.81
104048,0,2.80E-10,0,0
104049,0,2.62E-10,0,0
104050,0,6.04E-11,0,0
104051,1,7.47E-11,187,332.995
104052,1,9.34E-12,33,45.775
104053,0,3.18E-10,0,0
104054,0,8.13E-11,0,0
104055,1,2.13E-10,0,0
104056,0,4.86E-11,0,0
104057,0,2.44E-11,0,0
104058,1,2.71E-10,150,215.547
104059,0,1.16E-10,0,0
104060,0,7.80E-10,0,0
104061,0,1.05E-09,0,0
104062,0,9.13E-10,0,0
104063,1,1.91E-10,381,1369.1
104064,0,4.39E-10,0,0
104065,1,7.58E-12,49,75.7783
104066,1,1.11E-11,0,0
104067,1,1.69E-10,0,0
104068,1,1.93E-09,408,5721.34
104069,0,8.58E-10,0,0
104070,0,1.45E-11,0,0
104071,0,2.96E-10,0,0
104072,0,2.63E-11,0,0
104073,0,1.73E-11,0,0
104074,0,3.24E-11,0,0
104075,1,1.47E-09,16,22.7189
104076,0,3.94E-11,0,0
104077,0,1.32E-11,0,0
104078,0,1.32E-10,0,0
104079,0,7.89E-12,0,0
104080,1,1.40E-09,10,13.0119
104081,0,3.01E-10,0,0
104082,1,1.37E-10,87,155.673
104083,1,1.32E-09,519,1080.25
104084,0,2.05E-11,0,0
104085,0,7.97E-11,0,0
104086,0,7.06E-12,0,0
104087,1,2.39E-10,968,8256.51
104088,1,1.71E-11,92,288.213
104089,1,4.99E-11,112,169.158
104090,0,1.76E-11,0,0
104091,0,1.15E-09,0,0
104092,0,3.01E-10,0,0
104093,0,1.47E-11,0,0
104094,1,1.33E-11,13,15.4309
104095,0,1.24E-10,0,0
104096,1,6.98E-10,34,61.4913
104097,1,3.43E-10,341,778.008
104098,0,8.16E-10,0,0
104099,1,5.84E-10,4,4.25941
104100,0,4.33E-10,0,0
104101,0,2.21E-09,0,0
104102,0,2.73E-09,0,0
104103,1,1.45E-11,109,225.785
104104,0,3.87E-10,0,0
104105,0,1.00E-09,0,0
104106,0,1.11E-09,0,0
104107,0,4.84E-11,0,0
104108,1,2.60E-10,116,152.339
104109,0,8.17E-10,0,0
104110,0,2.57E-10,0,0
104111,0,1.21E-10,0,0
104112,0,2.04E-09,0,0
104113,1,2.99E-10,45,51.8874
104114,0,2.55E-11,0,0
104115,0,8.32E-11,0,0
104116,0,4.52E-11,0,0
104117,1,2.30E-11,101,239.686
104118,0,6.22E-10,0,0
104119,0,3.96E-11,0,0
104120,0,3.76E-11,0,0
104121,0,5.00E-11,0,0
104122,0,3.00E-10,0,0
104123,0,1.92E-09,0,0
104124,1,1.07E-09,29,39.5402
104125,1,3.84E-11,191,837.465
104126,0,1.91E-09,0,0
104127,1,1.28E-09,98,148.663
104128,1,7.10E-10,18,32.6739
104129,0,3.28E-11,0,0
104130,1,3.81E-11,185,559.848
104131,1,2.45E-10,312,596.864
104132,1,8.52E-10,0,0
104133,0,2.95E-11,0,0
104134,0,1.15E-09,0,0
104135,0,1.17E-11,0,0
104136,0,5.87E-10,0,0
104137,0,1.23E-09,0,0
104138,0,3.00E-10,0,0
104139,0,8.42E-10,0,0
104140,1,2.54E-11,57,196.834
104141,1,7.22E-11,190,519.261
104142,1,1.31E-10,7,8.70138
104143,0,5.49E-10,0,0
104144,1,9.24E-12,86,244.259
104145,0,2.30E-10,0,0
104146,0,9.41E-10,0,0
104147,0,1.07E-09,0,0
104148,0,1.20E-11,0,0
104149,1,3.36E-10,269,453.454
104150,1,3.57E-11,109,242.574
104151,0,2.01E-10,0,0
104152,0,6.64E-11,0,0
104153,1,6.23E-11,0,0
104154,0,2.28E-10,0,0
104155,0,1.17E-11,0,0
104156,1,8.24E-10,8,9.86862
104157,0,9.02E-11,0,0
104158,0,2.34E-10,0,0
104159,0,1.44E-10,0,0
104160,0,2.37E-11,0,0
104161,0,1.69E-10,0,0
104162,1,8.90E-11,1,1.09961
104163,1,6.60E-10,1,1.00092
104164,1,2.30E-11,100,153.526
104165,0,1.89E-09,0,0
104166,1,1.44E-09,73,164.762
104167,1,1.20E-09,289,1379.89
104168,0,4.58E-11,0,0
104169,1,2.28E-09,1151,2347.96
104170,0,9.87E-10,0,0
104171,0,3.17E-10,0,0
104172,0,2.29E-09,0,0
104173,1,6.53E-11,24,49.3416
104174,1,7.90E-10,4,4.18047
104175,1,9.11E-10,4,4.61466
104176,1,4.70E-11,413,2339.97
104177,1,1.45E-10,298,1028.9
104178,1,1.11E-11,275,4726.49
104179,1,5.29E-10,59,67.1163
104180,0,3.40E-11,0,0
104181,1,9.86E-12,24,41.4099
104182,1,2.26E-11,101,203.219
104183,1,1.86E-09,149,385.779
104184,1,1.13E-10,41,117.69
104185,1,8.89E-11,251,545.589
104186,0,7.32E-11,0,0
104187,0,2.02E-09,0,0
104188,0,3.58E-11,0,0
104189,1,1.25E-09,36,60.6243
104190,1,7.18E-11,19,37.7354
104191,1,1.31E-11,0,0
104192,0,9.32E-10,0,0
104193,1,6.85E-12,121,336.548
104194,1,8.09E-10,0,0
104195,0,2.13E-10,0,0
104196,0,1.25E-11,0,0
104197,0,2.40E-11,0,0
104198,0,1.31E-11,0,0
104199,1,1.05E-09,1890,10582
104200,0,4.21E-11,0,0
104201,0,1.43E-09,0,0
104202,0,9.39E-10,0,0
104203,0,6.95E-12,0,0
104204,0,1.37E-09,0,0
104205,0,1.13E-11,0,0
104206,1,1.30E-10,172,287.502
104207,0,1.72E-11,0,0
104208,1,8.46E-11,202,394.375
104209,1,6.75E-12,70,214.16
104210,0,3.77E-11,0,0
104211,1,5.26E-11,170,309.111
104212,1,1.18E-11,68,174.849
104213,1,2.42E-11,97,190.079
104214,1,7.87E-11,153,373.878
104215,0,1.17E-11,0,0
104216,1,9.87E-10,12,15.9464
104217,1,1.36E-09,12,14.6046
104218,0,7.87E-11,0,0
104219,1,8.69E-10,64,101.597
104220,0,5.65E-11,0,0
104221,1,1.34E-11,139,361.616
104222,0,1.48E-10,0,0
104223,0,1.30E-10,0,0
104224,0,3.27E-10,0,0
104225,0,1.90E-09,0,0
104226,1,3.46E-11,130,340.437
104227,0,2.09E-11,0,0
104228,0,3.25E-11,0,0
104229,0,4.55E-11,0,0
104230,0,7.16E-11,0,0
104231,0,5.55E-11,0,0
104232,1,1.87E-11,114,266.646
104233,1,1.28E-10,329,1086.52
104234,0,2.55E-09,0,0
104235,1,1.86E-09,294,671.81
104236,1,1.76E-10,30,33.1048
104237,1,2.21E-09,7,8.13643
104238,0,6.10E-10,0,0
104239,0,1.20E-09,0,0
104240,0,1.77E-10,0,0
104241,1,4.02E-10,58,110.167
104242,1,3.72E-11,103,151.037
104243,0,8.52E-10,0,0
104244,1,9.24E-12,176,1509.07
104245,1,3.54E-11,142,601.361
104246,0,1.86E-09,0,0
104247,0,2.14E-09,0,0
104248,0,3.13E-11,0,0
104249,1,4.43E-11,107,223.834
104250,0,6.18E-11,0,0
104251,1,1.61E-11,98,397.534
104252,1,1.99E-09,21,28.1006
104253,1,1.30E-09,109,343.039
104254,0,1.17E-10,0,0
104255,1,9.55E-12,120,513.78
104256,1,2.66E-11,92,156.677
104257,1,7.63E-11,281,1057.84
104258,0,5.59E-10,0,0
104259,1,1.27E-10,146,223.782
104260,0,2.57E-11,0,0
104261,1,8.24E-11,214,340.131
104262,0,6.50E-10,0,0
104263,0,6.80E-11,0,0
104264,0,2.57E-09,0,0
104265,0,6.41E-10,0,0
104266,0,6.69E-11,0,0
104267,1,7.43E-11,106,134.525
104268,1,1.78E-10,539,1796.29
104269,1,4.06E-11,131,373.556
104270,0,6.59E-11,0,0
104271,0,4.27E-11,0,0
104272,1,1.18E-10,270,752.002
104273,0,5.39E-11,0,0
104274,1,1.37E-10,340,1007.14
104275,1,2.75E-10,424,1350.51
104276,1,1.46E-10,24,44.4596
104277,0,1.81E-10,0,0
104278,0,1.07E-11,0,0
104279,0,2.24E-09,0,0
104280,0,1.19E-10,0,0
104281,1,2.03E-09,93,205.472
104282,1,3.70E-11,0,0
104283,0,7.45E-10,0,0
104284,1,5.14E-11,135,228.834
104285,1,2.20E-10,170,269.529
104286,1,6.67E-10,225,360.256
104287,1,2.13E-10,126,352.449
104288,0,4.43E-11,0,0
104289,0,2.03E-09,0,0
104290,0,7.30E-11,0,0
104291,0,7.57E-10,0,0
104292,1,2.76E-10,147,180.767
104293,0,3.43E-11,0,0
104294,0,1.47E-11,0,0
104295,0,5.86E-11,0,0
104296,0,7.58E-12,0,0
104297,0,1.74E-11,0,0
104298,1,5.66E-10,205,368.579
104299,0,1.67E-11,0,0
104300,1,2.56E-11,7,8.25622
104301,0,1.84E-10,0,0
104302,0,1.74E-11,0,0
104303,0,1.46E-10,0,0
104304,1,1.89E-09,74,191.861
104305,0,1.67E-09,0,0
104306,0,3.80E-11,0,0
104307,1,1.45E-10,146,316.308
104308,1,1.92E-11,127,394.321
104309,0,7.17E-10,0,0
104310,1,3.90E-11,165,349.782
104311,1,1.57E-10,178,272.819
104312,0,2.03E-11,0,0
104313,1,2.37E-09,231,437.195
104314,1,8.83E-11,631,5799.54
104315,1,2.93E-10,21,39.9566
104316,0,1.46E-10,0,0
104317,0,2.41E-09,0,0
104318,0,1.37E-09,0,0
104319,0,1.25E-10,0,0
104320,0,2.43E-10,0,0
104321,0,4.06E-11,0,0
104322,0,9.79E-11,0,0
104323,1,8.71E-10,45,71.2225
104324,0,2.23E-11,0,0
104325,0,8.08E-11,0,0
104326,1,1.07E-10,59,124.149
104327,0,1.45E-11,0,0
104328,1,2.33E-10,155,189.585
104329,0,3.27E-10,0,0
104330,0,3.37E-11,0,0
104331,0,1.42E-10,0,0
104332,1,2.04E-09,272,399.057
104333,0,2.08E-09,0,0
104334,0,2.51E-11,0,0
104335,0,1.96E-11,0,0
104336,0,5.38E-11,0,0
104337,0,1.93E-10,0,0
104338,0,1.53E-10,0,0
104339,1,2.15E-09,24,39.5497
104340,0,7.78E-10,0,0
104341,1,1.22E-10,0,0
104342,1,1.39E-10,271,560.686
104343,0,2.59E-10,0,0
104344,0,7.62E-10,0,0
104345,0,2.45E-11,0,0
104346,1,6.04E-11,19,28.4878
104347,0,3.05E-11,0,0
104348,0,2.01E-09,0,0
104349,1,7.88E-11,193,365.534
104350,1,1.16E-10,32,45.3892
104351,0,2.66E-10,0,0
104352,0,4.94E-11,0,0
104353,1,2.08E-09,126,253.617
104354,1,1.53E-10,359,1120.41
104355,0,7.78E-12,0,0
104356,0,1.09E-11,0,0
104357,1,8.87E-10,137,637.834
104358,0,6.66E-10,0,0
104359,1,8.92E-12,38,51.821
104360,0,1.81E-10,0,0
104361,1,2.50E-10,500,1783.83
104362,0,1.95E-11,0,0
104363,0,3.98E-11,0,0
104364,0,2.99E-10,0,0
104365,0,2.42E-09,0,0
104366,1,1.71E-10,461,1307.33
104367,1,1.62E-11,73,176.738
104368,1,4.20E-10,15,23.0831
104369,1,3.67E-11,0,0
104370,1,2.03E-09,629,1384.56
104371,0,1.67E-11,0,0
104372,0,6.62E-10,0,0
104373,0,1.07E-11,0,0
104374,0,1.13E-09,0,0
104375,1,8.36E-10,15,21.3077
104376,1,1.46E-10,348,1077.47
104377,1,5.98E-10,4,4.35694
104378,1,1.89E-11,76,127.165
104379,0,3.51E-11,0,0
104380,1,1.21E-09,751,8377.74
104381,0,1.49E-10,0,0
104382,1,1.83E-10,408,1611.11
104383,0,7.64E-10,0,0
104384,0,2.47E-11,0,0
104385,1,1.27E-11,233,2605.27
104386,1,2.51E-10,404,1182.57
104387,0,2.84E-10,0,0
104388,0,1.38E-11,0,0
104389,0,1.48E-11,0,0
104390,1,1.89E-09,270,678.849
104391,0,6.90E-10,0,0
104392,0,2.01E-09,0,0
104393,0,1.07E-09,0,0
104394,0,4.86E-11,0,0
104395,0,6.57E-11,0,0
104396,0,7.76E-11,0,0
104397,0,2.24E-11,0,0
104398,0,4.29E-10,0,0
104399,1,4.35E-11,97,174.767
104400,1,7.68E-12,68,124.634
104401,1,1.39E-11,170,1708.45
104402,0,8.41E-11,0,0
104403,0,2.16E-11,0,0
104404,1,5.65E-11,145,352.264
104405,0,3.61E-11,0,0
104406,0,1.37E-09,0,0
104407,0,1.50E-11,0,0
104408,0,1.95E-09,0,0
104409,0,3.06E-11,0,0
104410,1,1.77E-10,448,1216.03
104411,1,1.02E-11,187,484.407
104412,0,1.81E-10,0,0
104413,0,9.46E-10,0,0
104414,0,8.79E-10,0,0
104415,1,4.32E-11,97,143.612
104416,1,2.00E-10,20,28.2892
104417,1,2.50E-11,123,335.613
104418,0,2.27E-09,0,0
104419,1,8.70E-10,0,0
104420,1,1.18E-10,308,508.943
104421,0,3.11E-10,0,0
104422,0,1.86E-09,0,0
104423,1,1.16E-11,63,169.484
104424,0,8.52E-10,0,0
104425,1,2.77E-10,109,216.526
104426,1,4.76E-11,135,304.312
104427,0,1.93E-10,0,0
104428,0,2.25E-11,0,0
104429,1,1.01E-11,97,227.697
104430,0,2.66E-11,0,0
104431,0,1.77E-11,0,0
104432,1,2.15E-09,1044,2699.61
104433,0,7.47E-12,0,0
104434,1,3.31E-11,408,7849.86
104435,0,5.62E-10,0,0
104436,1,6.20E-11,167,584.968
104437,1,1.51E-10,303,1071.1
104438,1,2.25E-10,534,1098.45
104439,0,1.90E-11,0,0
104440,0,1.20E-10,0,0
104441,1,5.93E-11,207,669.238
104442,1,1.69E-09,226,565.691
104443,0,1.64E-11,0,0
104444,1,9.65E-11,134,318.261
104445,0,2.17E-09,0,0
104446,0,3.35E-10,0,0
104447,1,7.58E-12,55,87.3891
104448,0,8.51E-12,0,0
104449,1,2.58E-11,241,1955.72
104450,0,1.53E-10,0,0
104451,0,1.89E-10,0,0
104452,0,1.84E-10,0,0
104453,0,2.38E-10,0,0
104454,0,2.48E-11,0,0
104455,1,7.89E-12,153,560.059
104456,0,1.92E-10,0,0
104457,1,6.09E-11,281,1563.57
104458,1,1.79E-09,663,10051.9
104459,0,8.27E-10,0,0
104460,1,6.89E-11,138,210.273
104461,0,2.88E-11,0,0
104462,1,6.54E-10,51,287.115
104463,0,1.26E-11,0,0
104464,0,7.47E-10,0,0
104465,1,6.34E-10,2,2.14882
104466,0,2.85E-10,0,0
104467,1,6.61E-10,0,0
104468,1,1.32E-10,193,271.049
104469,1,6.81E-10,168,272.277
104470,0,5.84E-10,0,0
104471,1,7.53E-10,950,2374.37
104472,1,1.39E-10,438,2826.73
104473,1,9.00E-10,21,37.5745
104474,1,1.38E-09,12,13.3785
104475,0,1.27E-10,0,0
104476,0,6.62E-10,0,0
104477,1,5.97E-10,56,148.478
104478,1,5.70E-11,155,332.616
104479,0,2.33E-09,0,0
104480,0,1.15E-10,0,0
104481,0,4.88E-11,0,0
104482,0,4.04E-11,0,0
104483,0,1.28E-09,0,0
104484,0,6.95E-12,0,0
104485,1,1.35E-09,7,8.49641
104486,1,3.78E-11,78,133.412
104487,1,3.01E-10,0,0
104488,1,1.59E-10,55,88.3471
104489,0,5.46E-11,0,0
104490,0,7.27E-11,0,0
104491,0,9.72E-11,0,0
104492,0,1.81E-11,0,0
104493,0,9.60E-10,0,0
104494,1,9.82E-11,185,609.632
104495,1,1.70E-10,44,107.485
104496,0,2.33E-11,0,0
104497,1,1.22E-10,231,670.723
104498,0,2.91E-10,0,0
104499,1,1.91E-09,416,7775.82
104500,0,1.74E-10,0,0
104501,1,3.57E-10,308,566.997
104502,1,2.43E-10,15,21.8921
104503,0,1.34E-10,0,0
104504,1,8.44E-11,232,784.301
104505,1,4.16E-11,0,0
104506,1,2.50E-10,288,527.675
104507,0,6.13E-11,0,0
104508,0,1.36E-10,0,0
104509,1,1.44E-11,11,13.6032
104510,0,2.44E-11,0,0
104511,0,1.05E-09,0,0
104512,1,1.21E-10,427,1816.76
104513,1,1.91E-09,367,5258.6
104514,0,8.09E-12,0,0
104515,0,1.22E-11,0,0
104516,1,1.82E-11,46,57.4875
104517,1,3.07E-11,144,398.367
104518,1,8.82E-12,106,251.101
104519,0,7.89E-12,0,0
104520,0,1.10E-09,0,0
104521,1,8.55E-11,152,425.438
104522,1,7.75E-11,22,33.352
104523,1,7.26E-12,59,116.375
104524,0,3.09E-11,0,0
104525,0,9.96E-12,0,0
104526,0,5.74E-11,0,0
104527,1,5.18E-11,145,384.006
104528,0,7.89E-12,0,0
104529,1,6.58E-11,80,96.8794
104530,0,2.20E-09,0,0
104531,0,8.53E-10,0,0
104532,0,6.17E-10,0,0
104533,0,1.20E-10,0,0
104534,1,1.20E-09,1711,17499.1
104535,1,8.92E-12,280,2370.81
104536,1,7.37E-12,66,154.429
104537,1,7.78E-12,41,61.5485
104538,1,2.20E-09,138,221.116
104539,0,1.07E-11,0,0
104540,0,1.01E-10,0,0
104541,0,1.06E-10,0,0
104542,0,2.85E-10,0,0
104543,1,2.39E-09,138,360.339
104544,1,2.13E-11,182,430.775
104545,1,5.95E-10,119,255.522
104546,0,1.10E-11,0,0
104547,0,1.08E-09,0,0
104548,1,3.58E-10,136,161.6
104549,1,1.39E-11,67,140.327
104550,0,1.44E-10,0,0
104551,0,8.01E-11,0,0
104552,0,3.18E-11,0,0
104553,0,8.27E-10,0,0
104554,1,3.25E-10,579,2728.36
104555,1,1.85E-09,60,80.9675
104556,1,2.24E-11,16,21.0149
104557,1,8.54E-10,27,46.1545
104558,0,8.04E-11,0,0
104559,0,2.89E-09,0,0
104560,0,1.97E-11,0,0
104561,1,2.40E-09,268,1452.54
104562,1,1.33E-11,64,141.603
104563,0,2.14E-11,0,0
104564,0,1.42E-10,0,0
104565,0,2.82E-10,0,0
104566,1,5.60E-10,0,0
104567,0,8.09E-12,0,0
104568,0,6.14E-10,0,0
104569,0,1.55E-11,0,0
104570,0,1.09E-11,0,0
104571,0,2.14E-09,0,0
104572,1,1.39E-11,100,246.836
104573,1,9.75E-12,47,176.212
104574,0,1.92E-11,0,0
104575,0,1.24E-10,0,0
104576,0,1.60E-11,0,0
104577,0,2.30E-10,0,0
104578,0,2.77E-11,0,0
104579,0,3.28E-10,0,0
104580,0,4.63E-11,0,0
104581,0,5.80E-11,0,0
104582,0,3.22E-11,0,0
104583,0,1.12E-11,0,0
104584,1,3.38E-11,146,215.003
104585,1,8.43E-10,2,2.05677
104586,0,2.83E-11,0,0
104587,0,1.22E-09,0,0
104588,0,9.03E-12,0,0
104589,0,1.49E-11,0,0
104590,0,1.12E-11,0,0
104591,0,7.90E-11,0,0
104592,1,2.03E-11,0,0
104593,0,7.17E-10,0,0
104594,0,3.45E-10,0,0
104595,0,8.84E-10,0,0
104596,1,3.23E-11,34,42.4085
104597,1,7.99E-12,48,72.6683
104598,0,8.17E-10,0,0
104599,0,2.66E-10,0,0
104600,1,1.28E-09,17,19.5176
104601,1,1.58E-11,161,1324.56
104602,1,1.53E-10,150,217.924
104603,1,6.75E-12,5,5.72225
104604,0,9.72E-10,0,0
104605,1,1.88E-09,56,121.174
104606,1,1.76E-11,41,61.4161
104607,1,1.43E-10,233,509.61
104608,1,2.57E-10,382,1550.41
104609,0,4.69E-11,0,0
104610,0,2.15E-11,0,0
104611,0,2.99E-10,0,0
104612,1,2.24E-10,142,263.671
104613,0,2.46E-10,0,0
104614,0,1.40E-11,0,0
104615,1,1.13E-11,278,866.279
104616,0,1.90E-10,0,0
104617,0,2.84E-10,0,0
104618,0,5.60E-10,0,0
104619,1,7.58E-12,110,325.951
104620,1,1.76E-10,80,132.18
104621,0,8.19E-10,0,0
104622,0,1.23E-10,0,0
104623,0,6.42E-11,0,0
104624,0,1.47E-11,0,0
104625,1,9.26E-10,182,409.789
104626,0,2.37E-09,0,0
104627,0,7.83E-11,0,0
104628,1,1.02E-09,213,252.764
104629,0,1.53E-11,0,0
104630,0,1.66E-09,0,0
104631,0,2.15E-11,0,0
104632,1,7.52E-10,35,109.218
104633,0,1.05E-10,0,0
104634,1,1.74E-10,895,22982.1
104635,0,7.41E-11,0,0
104636,0,7.26E-12,0,0
104637,0,1.08E-09,0,0
104638,1,1.83E-09,109,156.961
104639,0,2.95E-10,0,0
104640,0,4.09E-11,0,0
104641,0,1.75E-11,0,0
104642,0,3.55E-10,0,0
104643,1,1.22E-11,22,27.514
104644,0,1.44E-09,0,0
104645,0,4.44E-11,0,0
104646,0,1.34E-11,0,0
104647,0,1.63E-10,0,0
104648,1,1.89E-09,88,232.954
104649,0,1.24E-09,0,0
104650,1,9.03E-12,82,184.749
104651,0,1.15E-11,0,0
104652,0,3.27E-11,0,0
104653,0,2.15E-09,0,0
104654,0,1.86E-11,0,0
104655,1,1.39E-10,262,762.555
104656,1,1.55E-11,73,154.03
104657,0,1.05E-10,0,0
104658,1,1.38E-10,765,79456.9
104659,0,4.85E-10,0,0
104660,1,2.51E-10,8,9.17334
104661,0,1.53E-10,0,0
104662,0,1.39E-10,0,0
104663,0,3.27E-11,0,0
104664,1,9.89E-11,261,923.856
104665,0,1.27E-09,0,0
104666,0,1.05E-09,0,0
104667,0,1.45E-10,0,0
104668,0,3.40E-11,0,0
104669,1,4.83E-11,199,701.559
104670,1,6.51E-11,110,289.957
104671,0,1.66E-09,0,0
104672,0,1.22E-11,0,0
104673,1,7.46E-11,89,266.113
104674,1,2.12E-09,100,163.914
104675,0,9.82E-10,0,0
104676,1,7.99E-12,65,128.192
104677,0,8.02E-11,0,0
104678,0,5.41E-11,0,0
104679,0,1.88E-09,0,0
104680,1,8.74E-10,0,0
104681,1,4.31E-11,354,6830.8
104682,1,1.22E-09,47,56.8046
104683,1,1.10E-10,279,538.683
104684,0,2.61E-10,0,0
104685,0,2.16E-10,0,0
104686,0,1.40E-11,0,0
104687,0,1.90E-09,0,0
104688,0,7.05E-10,0,0
104689,1,6.73E-11,214,590.403
104690,0,5.45E-11,0,0
104691,1,7.05E-10,21,30.1015
104692,1,6.16E-10,0,0
104693,0,6.95E-12,0,0
104694,0,1.05E-11,0,0
104695,0,8.63E-10,0,0
104696,0,4.34E-11,0,0
104697,1,1.13E-09,75,143.202
104698,0,8.82E-12,0,0
104699,1,1.60E-11,62,100.125
104700,1,5.72E-11,314,2689.71
104701,0,7.64E-10,0,0
104702,0,4.97E-10,0,0
104703,0,1.78E-11,0,0
104704,1,1.41E-10,282,394.974
104705,1,1.30E-11,0,0
104706,0,2.31E-11,0,0
104707,1,5.89E-11,122,540.049
104708,1,1.85E-11,73,133.404
104709,1,1.54E-09,0,0
104710,1,1.91E-10,23,44.0566
104711,1,5.82E-11,154,262.712
104712,0,4.78E-10,0,0
104713,1,6.75E-12,157,316.227
104714,0,5.59E-10,0,0
104715,1,2.16E-10,258,654.15
104716,1,3.77E-11,99,145.448
104717,0,5.23E-11,0,0
104718,1,7.82E-11,171,296.186
104719,0,1.95E-11,0,0
104720,0,1.23E-10,0,0
104721,0,8.76E-11,0,0
104722,0,8.14E-11,0,0
104723,0,4.13E-10,0,0
104724,0,8.14E-10,0,0
104725,0,1.84E-11,0,0
104726,0,4.07E-11,0,0
104727,0,1.84E-11,0,0
104728,1,1.49E-11,110,470.296
104729,0,1.02E-10,0,0
104730,1,3.80E-11,71,115.494
104731,1,4.98E-10,536,1304.14
104732,0,8.77E-11,0,0
104733,0,7.68E-12,0,0
104734,1,1.96E-10,7,8.3862
104735,0,4.96E-10,0,0
104736,0,1.80E-09,0,0
